genome_id,n_proteins,n_candidates,candidates_per_1000_proteins,max_heme_motifs
GCA_030583625.1,3428,34,9.92,14
GCF_000005845.2,4300,7,1.63,5
GCF_000006765.1,5572,5,0.9,5
GCF_000007985.2,3375,71,21.04,27
GCF_000008325.1,2971,16,5.39,21
GCF_000019665.1,2054,3,1.46,9
GCF_000021745.1,3861,2,0.52,4
GCF_000091165.1,2579,9,3.49,9
GCF_000146165.2,4214,23,5.46,10
GCF_000178815.2,4388,1,0.23,8
GCF_000190755.2,4210,3,0.71,3
GCF_000214275.2,3881,5,1.29,8
GCF_000214665.1,4485,2,0.45,9
GCF_000297415.1,2065,3,1.45,9
GCF_000372865.1,4282,5,1.17,8
GCF_000427445.1,3525,1,0.28,8
GCF_000496735.2,3757,4,1.06,8
GCF_000685155.1,3397,38,11.19,29
GCF_000785705.2,4585,2,0.44,4
GCF_000786775.1,3663,25,6.83,11
GCF_000949635.1,3658,41,11.21,13
GCF_000968535.2,3969,6,1.51,8
GCF_001273775.1,4432,8,1.81,8
GCF_001753675.2,2449,22,8.98,11
GCF_011066545.1,3615,26,7.19,14
GCF_027571405.1,4249,5,1.18,21
GCF_054182965.1,2516,4,1.59,8
GCF_949769195.1,4174,3,0.72,8
