genome_id,short_name,group,n_candidates,n_signalp_positive,Cytoplasmic,CytoplasmicMembrane,Extracellular,Periplasmic,Unknown,n_surface
GCF_000007985.2,G. sulfurreducens,Positive control (EET),71,58,2,2,9,18,27,9
GCF_000685155.1,Ca. M. nitroreducens,ANME-2d archaeon,38,24,2,0,5,2,15,5
GCF_000968535.2,Mt. alcaliphilum,Type I MOB (Gammaproteobacteria),6,4,0,0,1,2,1,1
GCF_000008325.1,M. capsulatus,Type I MOB (Gammaproteobacteria),16,15,2,1,0,9,3,0
GCF_027571405.1,M. parvus,Type II MOB (Alphaproteobacteria),5,3,0,0,0,2,1,0
GCA_030583625.1,Ca. J. caeni,Anammox,34,20,5,0,0,7,8,0
GCF_011066545.1,Ca. K. stuttgartiensis,Anammox,26,19,4,0,0,2,13,0
GCF_000949635.1,Ca. B. sinica,Anammox,41,25,8,0,0,7,10,0
GCF_000786775.1,Ca. S. brodae,Anammox,25,9,2,0,0,3,4,0
GCF_001753675.2,Ca. B. sapporoensis,Anammox,22,9,1,0,0,4,4,0
GCF_000146165.2,S. oneidensis,Positive control (EET),23,20,1,0,0,11,8,0
GCF_000019665.1,M. infernorum,Verrucomicrobial MOB,3,2,0,0,0,2,0,0
GCF_000091165.1,Ca. M. oxyfera,n-DAMO bacterium (NC10),9,2,0,0,0,1,1,0
GCF_000214665.1,M. methanica,Type I MOB (Gammaproteobacteria),2,1,0,0,0,0,1,0
GCF_000297415.1,M. fumariolicum,Verrucomicrobial MOB,3,2,0,0,0,2,0,0
GCF_000178815.2,M. trichosporium,Type II MOB (Alphaproteobacteria),1,1,0,0,0,0,1,0
GCF_000214275.2,M. album,Type I MOB (Gammaproteobacteria),5,3,0,1,0,2,0,0
GCF_000372865.1,M. fibrata,Type I MOB (Gammaproteobacteria),5,2,0,1,0,1,0,0
GCF_000427445.1,M. acidiphila,Type II MOB (Alphaproteobacteria),1,1,0,0,0,0,1,0
GCF_000496735.2,M. morosus,Type I MOB (Gammaproteobacteria),4,3,1,0,0,1,1,0
GCF_001273775.1,N. moscoviensis,Ecological control,8,2,1,0,0,1,0,0
GCF_054182965.1,N. europaea,Methodological control,4,3,0,1,0,2,0,0
GCF_949769195.1,M. szegediense,Type I MOB (Gammaproteobacteria),3,2,0,0,0,1,1,0
GCF_000005845.2,E. coli,Negative control,7,2,0,0,0,2,0,0
GCF_000006765.1,P. aeruginosa,Negative control,5,3,0,1,0,1,1,0
GCF_000021745.1,M. silvestris,Type II MOB (Alphaproteobacteria),2,2,0,1,0,0,1,0
GCF_000785705.2,M. denitrificans,Type I MOB (Gammaproteobacteria),2,1,0,0,0,0,1,0
GCF_000190755.2,M. tundripaludum,Type I MOB (Gammaproteobacteria),3,1,0,1,0,0,0,0
