genome_id,protein_acc,description,length_aa,n_CXXCH,n_CXXCK,n_heme_motifs,n_Cys,signal_peptide,predicted_localization,interpro_domains,neighbour_porin,notes
GCA_000685155.1,KCZ73554.1,IPT/TIG domain-containing protein [Candidatus Methanoperedens nitroreducens],1441,29,0,29,58,,,,,
GCF_000685155.1,WP_048089050.1,IPT/TIG domain-containing protein [Candidatus Methanoperedens nitratireducens],1441,29,0,29,58,,,,,
GCA_000007985.2,AAR35586.1,cytochrome c [Geobacter sulfurreducens PCA],711,27,0,27,54,,,,,
GCA_000007985.2,AAR36279.1,lipoprotein cytochrome c [Geobacter sulfurreducens PCA],884,27,0,27,55,,,,,
GCA_000007985.2,AAR36290.1,lipoprotein cytochrome c [Geobacter sulfurreducens PCA],2803,27,0,27,79,,,,,
GCF_000007985.2,WP_010942850.1,cytochrome c3 family protein [Geobacter sulfurreducens],711,27,0,27,54,,,,,
GCF_000007985.2,WP_010943516.1,PKD domain-containing protein [Geobacter sulfurreducens],884,27,0,27,55,,,,,
GCF_000007985.2,WP_010943528.1,CxxxxCH/CxxCH domain c-type cytochrome [Geobacter sulfurreducens],2803,27,0,27,79,,,,,
GCA_000007985.2,AAR34032.1,lipoprotein cytochrome c [Geobacter sulfurreducens PCA],1916,26,0,26,75,,,,,
GCA_000007985.2,AAR35868.1,cytochrome c [Geobacter sulfurreducens PCA],646,26,0,26,52,,,,,
GCF_000007985.2,WP_235044893.1,cytochrome c3 family protein [Geobacter sulfurreducens],660,26,0,26,52,,,,,
GCF_000007985.2,WP_235044961.1,CxxxxCH/CxxCH domain c-type cytochrome [Geobacter sulfurreducens],1893,26,0,26,74,,,,,
GCA_000007985.2,AAR36276.2,cytochrome c [Geobacter sulfurreducens PCA],1018,24,0,24,54,,,,,
GCF_000007985.2,WP_235044907.1,cytochrome c3 family protein [Geobacter sulfurreducens],1038,24,0,24,55,,,,,
GCA_000007985.2,AAR36304.1,cytochrome c [Geobacter sulfurreducens PCA],1046,23,0,23,54,,,,,
GCF_000007985.2,WP_010943543.1,multiheme c-type cytochrome [Geobacter sulfurreducens],1046,23,0,23,54,,,,,
GCA_000685155.1,KCZ71483.1,hypothetical protein ANME2D_02213 [Candidatus Methanoperedens nitroreducens],1178,22,0,22,46,,,,,
GCF_000685155.1,WP_157834067.1,S-layer protein domain-containing protein [Candidatus Methanoperedens nitratireducens],1178,22,0,22,46,,,,,
GCA_000008325.1,AAU91580.1,cytochrome c family protein [Methylococcus capsulatus str. Bath],600,21,0,21,44,,,,,
GCA_027571405.1,WBJ99480.1,cytochrome C [Methylocystis parvus OBBP],512,21,0,21,44,,,,,
GCF_000008325.1,WP_041361558.1,cytochrome c3 family protein [Methylococcus capsulatus],526,21,0,21,42,,,,,
GCF_027571405.1,WP_193787608.1,cytochrome c3 family protein [Methylocystis parvus],512,21,0,21,44,,,,,
GCA_000007985.2,AAR36275.1,cytochrome c [Geobacter sulfurreducens PCA],902,19,0,19,48,,,,,
GCF_000007985.2,WP_235044906.1,CxxxxCH/CxxCH domain c-type cytochrome [Geobacter sulfurreducens],893,19,0,19,48,,,,,
