genome_id,protein_acc,description,length_aa,n_CXXCH,n_CXXCK,n_heme_motifs,n_Cys,signal_peptide,predicted_localization,interpro_domains,neighbour_porin,notes,organism,short_name,group,seq_id,signalp_prediction,signalp_prob,signalp_confidence,has_signal_peptide,cs_position,psortb_localization,psortb_score,psortb_modules,psortb_n_modules,surface_exposed,score_Extracellular,score_OuterMembrane,score_Periplasmic,score_CytoplasmicMembrane,score_Cytoplasmic
GCF_000685155.1,WP_048089050.1,IPT/TIG domain-containing protein [Candidatus Methanoperedens nitratireducens],1441,29,0,29,58,,,,,,Candidatus Methanoperedens nitroreducens,Ca. M. nitroreducens,ANME-2d archaeon,seq0001,SP,0.5129,low,yes,CS pos: 40-41. Pr: 0.4893,Extracellular,9.64,ECSVM,1,yes,9.64,0.23,0.11,0.01,0.01
GCF_000007985.2,WP_010942850.1,cytochrome c3 family protein [Geobacter sulfurreducens],711,27,0,27,54,,,,,,Geobacter sulfurreducens PCA,G. sulfurreducens,Positive control (EET),seq0002,SP,0.9989,high,yes,CS pos: 22-23. Pr: 0.9420,Unknown,,Signal,1,no,2.50,2.50,2.50,2.50,0.00
GCF_000007985.2,WP_010943516.1,PKD domain-containing protein [Geobacter sulfurreducens],884,27,0,27,55,,,,,,Geobacter sulfurreducens PCA,G. sulfurreducens,Positive control (EET),seq0003,SP,0.9982,high,yes,CS pos: 36-37. Pr: 0.8210,Extracellular,10.00,ECSVM;SCL-BLAST,2,yes,10.00,0.00,0.00,0.00,0.00
GCF_000007985.2,WP_010943528.1,CxxxxCH/CxxCH domain c-type cytochrome [Geobacter sulfurreducens],2803,27,0,27,79,,,,,,Geobacter sulfurreducens PCA,G. sulfurreducens,Positive control (EET),seq0004,OTHER,1.0000,high,no,,not_submitted,,,,no,,,,,
GCF_000007985.2,WP_235044893.1,cytochrome c3 family protein [Geobacter sulfurreducens],660,26,0,26,52,,,,,,Geobacter sulfurreducens PCA,G. sulfurreducens,Positive control (EET),seq0005,SP,0.9990,high,yes,CS pos: 33-34. Pr: 0.9613,Periplasmic,9.83,PPSVM,1,no,0.14,0.01,9.83,0.01,0.01
GCF_000007985.2,WP_235044961.1,CxxxxCH/CxxCH domain c-type cytochrome [Geobacter sulfurreducens],1893,26,0,26,74,,,,,,Geobacter sulfurreducens PCA,G. sulfurreducens,Positive control (EET),seq0006,OTHER,0.9429,high,no,,not_submitted,,,,no,,,,,
GCF_000007985.2,WP_235044907.1,cytochrome c3 family protein [Geobacter sulfurreducens],1038,24,0,24,55,,,,,,Geobacter sulfurreducens PCA,G. sulfurreducens,Positive control (EET),seq0007,SP,0.9990,high,yes,CS pos: 40-41. Pr: 0.9592,Unknown,,ECSVM;PPSVM;Signal,3,no,5.54,0.01,4.45,0.00,0.00
GCF_000007985.2,WP_010943543.1,multiheme c-type cytochrome [Geobacter sulfurreducens],1046,23,0,23,54,,,,,,Geobacter sulfurreducens PCA,G. sulfurreducens,Positive control (EET),seq0008,SP,0.9992,high,yes,CS pos: 24-25. Pr: 0.9661,Unknown,,ECSVM;PPSVM,2,no,5.54,0.01,4.45,0.00,0.00
GCF_000685155.1,WP_157834067.1,S-layer protein domain-containing protein [Candidatus Methanoperedens nitratireducens],1178,22,0,22,46,,,,,,Candidatus Methanoperedens nitroreducens,Ca. M. nitroreducens,ANME-2d archaeon,seq0009,SP,0.9992,high,yes,CS pos: 21-22. Pr: 0.9778,Unknown,,,0,no,2.00,2.00,2.00,2.00,2.00
GCF_000008325.1,WP_041361558.1,cytochrome c3 family protein [Methylococcus capsulatus],526,21,0,21,42,,,,,,Methylococcus capsulatus Bath,M. capsulatus,Type I MOB (Gammaproteobacteria),seq0010,SP,0.9989,high,yes,CS pos: 27-28. Pr: 0.9414,Periplasmic,9.84,CytoSVM;PPSVM;Signal,3,no,0.14,0.00,9.84,0.02,0.00
